run_dir,run_name,video_stem,meta_path,frame_idx,state,pose_smooth,pose_raw,capture_reason,bbox_w,bbox_h,bbox_xyxy,det_conf,det_cls,BBOX_RATIO,BBOX_THRESH,APPROACH_MAX_STEPS,SMOOTH_K,SIDE_WINDOW,SIDE_NEED,CONF_THRES
all_nav_runs/DJI_0018_120_20260413_125925,DJI_0018_120_20260413_125925,DJI_0018_120,all_nav_runs/DJI_0018_120_20260413_125925/capture/meta_000012.json,12,CAPTURE,right,right,ratio_threshold,506,382,"[3553, 1932, 4059, 2314]",0.8153316974639893,0,0.1,500,300,5,7,5,0.25
all_nav_runs/DJI_0018_180_20260413_130044,DJI_0018_180_20260413_130044,DJI_0018_180,all_nav_runs/DJI_0018_180_20260413_130044/capture/meta_000012.json,12,CAPTURE,left,left,ratio_threshold,589,454,"[2381, 1881, 2970, 2335]",0.8598724007606506,0,0.1,500,300,5,7,5,0.25
all_nav_runs/DJI_0018_30_20260413_130113,DJI_0018_30_20260413_130113,DJI_0018_30,all_nav_runs/DJI_0018_30_20260413_130113/capture/meta_000012.json,12,CAPTURE,right,right,ratio_threshold,467,363,"[2488, 2049, 2955, 2413]",0.7979263663291931,0,0.1,500,300,5,7,5,0.25
all_nav_runs/DJI_0018_60_20260413_130143,DJI_0018_60_20260413_130143,DJI_0018_60,all_nav_runs/DJI_0018_60_20260413_130143/capture/meta_000012.json,12,CAPTURE,right,right,ratio_threshold,514,426,"[2362, 2047, 2876, 2473]",0.831427276134491,0,0.1,500,300,5,7,5,0.25
all_nav_runs/DJI_0018_90_20260413_130210,DJI_0018_90_20260413_130210,DJI_0018_90,all_nav_runs/DJI_0018_90_20260413_130210/capture/meta_000012.json,12,CAPTURE,right,right,ratio_threshold,628,525,"[2460, 2039, 3089, 2565]",0.8286769986152649,0,0.1,500,300,5,7,5,0.25
all_nav_runs/DJI_0019_120_20260413_130242,DJI_0019_120_20260413_130242,DJI_0019_120,all_nav_runs/DJI_0019_120_20260413_130242/capture/meta_000056.json,56,CAPTURE,left,left,ratio_threshold,636,531,"[2237, 1592, 2873, 2123]",0.8329157829284668,0,0.1,500,300,5,7,5,0.25
all_nav_runs/DJI_0019_150_20260413_130317,DJI_0019_150_20260413_130317,DJI_0019_150,all_nav_runs/DJI_0019_150_20260413_130317/capture/meta_000012.json,12,CAPTURE,left,left,ratio_threshold,771,575,"[2468, 1595, 3239, 2171]",0.8335322141647339,0,0.1,500,300,5,7,5,0.25
all_nav_runs/DJI_0019_180_20260413_130346,DJI_0019_180_20260413_130346,DJI_0019_180,all_nav_runs/DJI_0019_180_20260413_130346/capture/meta_000012.json,12,CAPTURE,left,left,ratio_threshold,796,593,"[2441, 1594, 3238, 2187]",0.8275576829910278,0,0.1,500,300,5,7,5,0.25
all_nav_runs/DJI_0019_30_20260413_130418,DJI_0019_30_20260413_130418,DJI_0019_30,all_nav_runs/DJI_0019_30_20260413_130418/capture/meta_000012.json,12,CAPTURE,left,left,ratio_threshold,661,521,"[2479, 1833, 3140, 2354]",0.8370581269264221,0,0.1,500,300,5,7,5,0.25
all_nav_runs/DJI_0019_60_20260413_130447,DJI_0019_60_20260413_130447,DJI_0019_60,all_nav_runs/DJI_0019_60_20260413_130447/capture/meta_000012.json,12,CAPTURE,left,left,ratio_threshold,670,517,"[2526, 1916, 3196, 2433]",0.8380482196807861,0,0.1,500,300,5,7,5,0.25
all_nav_runs/DJI_0019_90_20260413_130519,DJI_0019_90_20260413_130519,DJI_0019_90,all_nav_runs/DJI_0019_90_20260413_130519/capture/meta_000012.json,12,CAPTURE,left,left,ratio_threshold,742,603,"[2184, 1631, 2927, 2235]",0.8414677381515503,0,0.1,500,300,5,7,5,0.25
